Customer ID,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card
5842,Amanda Smith,estradadarryl@example.org,907.792.6390x30473,62850 Rebecca Curve,Durhammouth,North Macedonia,48421,True
2729,Chad Jimenez,natalieolson@example.org,864-241-9352,182 Walker Village,East Megan,Luxembourg,25422,False
5985,Aaron Marsh,eallen@example.org,001-581-401-0774x1420,7326 Adams Dam Apt. 294,Seanville,Saint Kitts and Nevis,15887,False
5868,Michael Nelson,kyle07@example.com,+1-828-678-0714,46669 Dominique Locks Suite 025,South Michael,Saint Pierre and Miquelon,08019,True
3369,Mrs. Kimberly Sims,brookskevin@example.org,569-974-2198x4440,7206 Freeman Islands Apt. 998,West Kristinport,Lao People's Democratic Republic,27014,False
9426,Diana Davies,jennyfoster@example.org,3322500832,37084 Michael Mission,Herreraview,Nicaragua,46082,True
9783,Jonathan Bailey,mortonjason@example.com,970-956-4343,11463 Peters Burgs,Angelamouth,Suriname,28820,False
5687,James Powers,mercedes85@example.org,001-788-294-5625x60101,95878 Richard Gateway Suite 472,East Markfurt,Uganda,69671,False
8312,Shaun Jimenez,savagemichelle@example.net,483.327.1676x9693,55684 Eric Crest,Port Stephen,Timor-Leste,45563,False
8976,Patricia Owens,avaughn@example.com,486-544-4419,070 Greene Port,Patrickton,Northern Mariana Islands,90428,False
4494,Mark Deleon MD,ashley73@example.net,001-460-362-3127x46300,311 Ann Drive Suite 746,Valerieshire,Estonia,20063,False
5161,Melvin Lopez,freyes@example.org,(985)562-8905,085 Brittany Crossing,West Amanda,Bolivia,34587,False
5934,Melissa Williams,heather60@example.com,622.690.3929x87946,24138 Thomas Turnpike,Georgefort,Gabon,16638,True
3939,Peter Young,jon38@example.org,+1-959-343-2469x98136,48505 David Mall Apt. 088,Davenportstad,Ecuador,20944,True
7259,Jennifer Taylor,wmarshall@example.org,(970)400-7706,0567 Michael Canyon Suite 256,Angelaburgh,Iraq,91951,False
2021,Mark Marshall,richard43@example.net,604.494.5388x252,16123 Amanda Motorway,Warrenland,Faroe Islands,40035,True
4649,Kendra Richardson,cbryant@example.net,001-393-451-3163x0032,8186 Madison Oval Apt. 326,Lake Joshua,Rwanda,32892,False
5127,Dana King,ashleywhite@example.org,(888)796-5265x00713,860 Hughes Isle Apt. 480,Port Patricia,Bahrain,92815,False
6736,Sheri Peters,melissa20@example.org,9544347026,2420 Stephen Gateway Suite 739,Lake Johnfort,Trinidad and Tobago,65444,True
2565,Zachary Velasquez,yjefferson@example.net,866.965.9303x830,63494 Tonya Place Suite 134,Lewischester,Central African Republic,27371,False
7830,Kim Harrington,jacqueline91@example.org,+1-477-499-2437x49647,1713 Aguilar Brooks,East Aarontown,Congo,78010,True
5577,Anita Hebert,james77@example.org,001-454-965-8152,0597 Moore Spring Apt. 672,Codyshire,French Guiana,75527,False
5083,Claudia Rivera,jamespark@example.net,215-710-3675,92090 Williams Stream Apt. 827,North Arianaview,Libyan Arab Jamahiriya,70069,False
3071,David Douglas,gracerojas@example.net,716.711.7452,7506 Martin Hollow Apt. 929,Cathyburgh,Kiribati,03920,True
2110,Tina Thompson,howardlinda@example.com,001-658-446-7201x90667,8989 Christopher Knolls Suite 774,East Thomasberg,Peru,02204,False
5007,Jeanne Weeks,peggy49@example.org,8668385009,71659 Natasha Course,New Mark,Seychelles,42328,False
9795,Kenneth White,uwhite@example.net,(720)262-1624x704,1464 Angela Ridge Suite 357,North Christina,New Zealand,08614,False
3990,Glenn Thompson,beverlyperez@example.net,001-855-350-9635x382,39218 Jenkins Rapid,Port Crystal,Korea,64524,False
3470,Jacob Payne MD,porterwilliam@example.com,(959)526-5155x16027,11205 Michael View Apt. 950,North Samantha,Guadeloupe,79905,False
4965,Kristin Murphy MD,ywatkins@example.net,4537256360,317 Christine Flat,West Jose,Malta,97022,False
9210,Jessica Park,zacharybarnett@example.com,001-761-346-2404x817,178 Luke Squares Suite 725,Aaronside,Malawi,19267,False
4487,Jerome Daniels,hannah30@example.com,001-567-535-3550x51189,74331 Tracy Drive,Lindaberg,Comoros,55334,False
5004,Tracy Jones,xscott@example.org,001-408-902-8338x42353,2243 Jones Islands Apt. 912,Dunnton,Saudi Arabia,78483,False
9905,Gary White,robinsonlisa@example.org,001-929-610-7916x34729,5536 Anthony Burg Apt. 808,Meyersburgh,Kenya,26346,False
7503,Marcus Bradshaw,arthurhicks@example.org,(682)972-0593x7172,838 Cox Prairie Apt. 937,West Angelaville,Gibraltar,38881,False
3386,Tom Patterson,timothy76@example.com,7432982289,555 Megan Ford Apt. 827,Lake Jonathon,Uganda,93691,False
4485,Jeanette George,sarahsanders@example.org,571.513.6523,36763 Delgado Hills Apt. 087,West Calvinbury,Andorra,94071,False
4672,Leah Cunningham,andrea72@example.com,(695)987-7359,25127 Marshall Motorway,Guerrerobury,Maldives,79317,True
8691,Kimberly Gutierrez,sue35@example.org,559.606.1663,2614 Davis Springs Apt. 036,Vincentton,Japan,34729,False
6057,Jeffrey Stewart,carlos77@example.com,(212)995-4322,9833 Weber Bypass,Samuelview,Norfolk Island,40817,False
3984,Erin Walker,ritadaniel@example.net,+1-992-613-6442x61166,31024 Burton Overpass,Jamesshire,Saint Martin,68412,True
8738,Jason Parker,holly90@example.net,468.205.7820x98629,3485 David View Suite 153,Port Jonathan,Saint Lucia,62145,True
2123,Lindsey Sanchez,lauradecker@example.com,001-272-932-5388x8080,53828 Susan Burgs Apt. 888,South William,Guinea,58255,False
1225,Jennifer Moore,claytondaniel@example.com,622.430.8571,91191 Jorge Hill Apt. 480,North Chad,Iceland,85166,False
5485,Tamara Davenport,brookeperry@example.net,001-567-711-7574,255 Rachel Turnpike,West Mikaylaview,Albania,63218,False
9790,Melissa Salas,edwardfrederick@example.com,001-531-975-1669x715,756 Amy Cliff,Salasside,El Salvador,76332,True
6572,Christina Huffman,jallen@example.com,(300)914-5064x55177,27605 Knox Cliffs Suite 790,Denisehaven,Italy,66428,True
1129,Emily Hebert,myersmitchell@example.net,333-688-7109x046,32488 Daniels Drives,Warrenside,Cameroon,33688,False
2045,Riley Black,npayne@example.org,781.934.4529,46123 Bobby Via Suite 748,West Michael,Singapore,21290,False
2742,Christopher Ruiz,erodriguez@example.org,001-862-787-3670x573,91948 Harper Parkway,Lake Jacquelineton,Serbia,05556,False
1369,Jeremy Nguyen,wheelereric@example.net,3766470738,42725 John Underpass Apt. 528,East Lukechester,Tokelau,41496,False
4895,Steven Frederick,jessica26@example.com,001-998-207-7869x3032,4438 Daniel River,Donnahaven,El Salvador,17180,False
8832,Daniel Hernandez,shannon41@example.org,6832049297,5596 Mary Neck Apt. 170,Jefferymouth,Honduras,34144,False
2378,Steven Jones,huntchloe@example.org,579.375.2803,29115 Crystal Circles Apt. 586,Bryanport,Jordan,17465,True
3551,Kevin Higgins,brittany15@example.net,(355)869-7972x910,040 Heather Ridge Apt. 075,Port James,Honduras,72137,False
9427,Felicia Rubio,boltonjennifer@example.net,433.945.7521x4784,146 Zachary Avenue Suite 304,Lake Jonathan,Estonia,20408,True
4618,Emily Frederick,john04@example.net,(956)339-5370x369,7356 Douglas Crossroad Suite 815,West Katie,Serbia,63765,False
8869,Mr. Anthony Heath,steve90@example.org,(729)593-1470,865 Shelia Mill,Tamaraberg,Israel,98292,True
2186,Jonathan Stuart,wolfjose@example.com,+1-482-683-4923,1818 Jennifer Heights,West Patrickview,Sierra Leone,59552,False
2599,Douglas Thomas,juanperez@example.org,286-658-8586,87129 Davidson Springs Suite 636,Jenniferhaven,Denmark,25465,False
7400,Alan Brooks,tracypatel@example.com,8098916995,367 Good Court,Popechester,Cote d'Ivoire,30235,False
5131,Stephanie Wallace,douglascharles@example.net,986-979-3311x01104,928 Chambers Square Apt. 821,North Stevenborough,Indonesia,59748,False
2078,Nicole Griffin,brookehall@example.net,7534836334,77517 Patricia Manors Apt. 906,Douglaston,New Zealand,99344,True
1695,Rhonda Blackwell,marywalter@example.net,331.381.4715,844 Palmer Spurs Suite 558,Port Kaitlin,French Guiana,49940,False
2265,Alicia Rodriguez,tshort@example.net,+1-782-434-9541x42635,4106 Justin Vista,Davidburgh,Bangladesh,13879,False
6722,Jacqueline Vazquez,brianolson@example.org,(693)444-7561x7756,4690 Kendra Mountain Suite 923,East Henry,Mali,83178,False
7482,Russell Simpson,mcdowelljamie@example.com,864-207-1749x8109,072 Hall Trace,Johnburgh,Denmark,57800,False
1980,Sarah Booth,mthomas@example.com,001-201-668-1015,230 Joseph Wall,Jonburgh,United Arab Emirates,65197,False
4213,Robert Koch,paynejaime@example.org,256-623-0305x06987,2322 Gibbs Extensions Suite 125,West Charles,Kazakhstan,60693,False
1182,Lisa Wilson,carlmiddleton@example.net,+1-287-935-8545x886,2918 Bobby Tunnel Suite 751,Charleneport,Japan,22119,False
4874,Elizabeth Parker,thompsonjake@example.net,527-481-3416,2348 White Views Apt. 683,Port Nicolehaven,Kyrgyz Republic,98802,False
5366,Cristian Bell,kclark@example.net,(581)303-1844,5497 Nathan Mill,Collinsmouth,Tunisia,10258,False
6170,Caitlyn Harvey,jessicacarter@example.net,+1-332-304-4442x490,48453 Lambert Gardens,East Thomasfurt,South Africa,74453,False
1018,Daniel Jones,turnerjacqueline@example.net,(949)249-5444x12548,6545 Blake Ports,West Cristina,Zimbabwe,87904,False
1368,Debra Miller,tiffany75@example.net,+1-765-349-0739,58335 Lewis Causeway Suite 861,Castromouth,Swaziland,44077,True
1003,Jason Manning,sdalton@example.net,+1-498-218-3833x539,9035 Knight Pike Suite 188,Lake Dennis,Djibouti,42020,False
1418,Sandy Powers,alyssa20@example.org,(785)428-2590x43931,9901 Matthew Mills Suite 103,Port Markbury,Norfolk Island,46567,False
9350,Steven Mack,jason01@example.com,577-520-5552,721 Aaron Ranch,New Jacob,Mali,22951,False
4401,Pamela Smith DVM,sanderstaylor@example.net,+1-697-734-1666x311,3326 Reilly Plaza Apt. 475,Fieldsfort,Nicaragua,52382,False
6539,Kevin Hicks,leearthur@example.net,812.245.8366x4671,42208 Hunt Vista Apt. 371,Dawnview,Qatar,23978,False
7849,Mackenzie Olson,manntim@example.com,831.276.9516,45358 Zachary Mall,Jennaton,Congo,02621,False
2487,Kaylee Cunningham,william25@example.org,(562)678-2447,45245 Christopher Drives,East Staceyburgh,Angola,40406,True
7189,Philip Peters,myoung@example.net,+1-568-868-0012x199,002 Mueller Circles Apt. 495,West Lauramouth,Liberia,31740,False
1976,Kyle Wolf,gvasquez@example.net,+1-635-618-1377,893 Jessica View Suite 793,West Shelleyhaven,Antigua and Barbuda,51121,True
5776,Linda Parker,powelljennifer@example.com,9562119733,3741 Mcintosh Plains,Williamsville,Netherlands,64846,False
6127,Sheri Hurley,teresapowell@example.net,323-404-8321,50014 Osborne Views,Baldwinmouth,Kuwait,81400,False
7736,Jennifer Lewis,lacevedo@example.com,9492658031,86984 Kristin Underpass Apt. 430,Lake Nataliefurt,Croatia,71048,True
2243,Jamie Bradshaw,johnsonkevin@example.com,(738)621-7960x10034,015 White Cliff Suite 090,Prattburgh,Ghana,31817,False
9555,Ashley Diaz,valeriejohnson@example.com,881.378.7542x20442,2155 Mitchell Camp,Port Micheleberg,Slovakia (Slovak Republic),69456,True
4417,Tracey Smith,colemoore@example.com,(999)371-3141x526,129 Judith Mountain,Floreshaven,Kazakhstan,01686,False
2771,Teresa Bauer,juanritter@example.com,001-322-892-5274x52502,417 Tamara Skyway Apt. 339,Lake Joshuaborough,Oman,40281,False
7237,Jacqueline Mejia,snowmichael@example.org,001-890-395-8590,85667 Williams Rue Apt. 017,Lake Samantha,Lesotho,98908,False
2456,Kimberly Rivas,riggsdominique@example.net,001-686-754-4469x635,0019 Jordan Harbor Apt. 788,North Georgeland,Gabon,56925,False
5344,Joshua Atkins,tiffany65@example.org,7203727532,531 Laura Mountain Apt. 830,Sarafurt,Austria,31333,False
9756,Sara Gregory,brendaparker@example.com,559.245.6640x83492,751 Hood Forge,Schmidtbury,Benin,44425,True
8727,Jaime Daniel,bryanjeffery@example.org,381.842.4455x23941,809 Sims Plaza,East Dalton,Kuwait,84780,False
9679,Nathan Keller,herrerasteven@example.com,001-603-491-6884,0805 Jenna Summit Apt. 770,Contrerasland,Belize,44135,True
3198,Danielle Atkins,jacobsjeanette@example.org,771-447-4448x042,1531 Jennifer Station,Reginaldland,Cook Islands,09438,True
7881,Lisa Young,amy49@example.net,655.678.8031x0006,5613 Daniel Light Suite 433,Sanchezview,Chile,44967,True
2304,Jennifer Coffey,hvillarreal@example.org,+1-860-872-6824x84266,3805 Garza Via,Lake Kaylaview,Turkmenistan,49074,False
2501,Bonnie Morgan,sullivanjohn@example.org,9664731089,14333 Thompson Passage Suite 806,West Andreastad,Guinea-Bissau,07736,False
3900,Mr. Derrick Villarreal,sarahtaylor@example.net,(514)550-1471x7807,031 Castro Union,East Christopherport,Bermuda,47839,False
1471,Sarah Moreno,westshannon@example.org,(756)872-5590x7753,824 Mark Mountain,New Jennifer,Greece,15094,False
6615,John Stevens,wedwards@example.org,574-704-5192,1016 Alexander Village,South Kathleenstad,Nepal,35632,True
5437,Joseph Patterson,dicksonjennifer@example.org,(936)745-7279x12692,1729 Andrew Alley,Stanleyton,Syrian Arab Republic,37282,True
8811,Ashley Webb,ruiznathan@example.org,+1-940-765-4950x721,3980 Randy Dale Apt. 939,Campbellberg,Canada,23440,True
5478,Cynthia Hays,richard04@example.org,854-814-5552x370,03758 Schmitt Field,North Stevenville,Solomon Islands,32797,False
2712,Joshua Smith,gibbsjenna@example.org,(249)373-7424,3586 Shields Hills,East Nicole,Martinique,34546,True
3259,Lisa Thomas,dkerr@example.com,3738928220,23700 Sanders View Apt. 943,West Darrell,Cape Verde,03420,False
